epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1108.02,1.72916,1.80513,1.53778,0.21346,0.20004,0.16921,0.09346,1.66878,2.50477,1.47056,0.005743,0.005743,0.005743
45,1133.17,1.70813,1.81986,1.5175,0.36022,0.37373,0.31397,0.15399,1.75937,2.00686,1.5088,0.005644,0.005644,0.005644
46,1158.13,1.73024,1.79096,1.53456,0.30997,0.31963,0.2753,0.1367,1.64666,2.0241,1.43864,0.005545,0.005545,0.005545
47,1183.16,1.72395,1.78538,1.54587,0.26369,0.21114,0.19178,0.10845,1.65529,3.05786,1.46056,0.005446,0.005446,0.005446
48,1208.19,1.70548,1.83061,1.5039,0.30779,0.27527,0.27892,0.13945,1.75576,1.98237,1.51757,0.005347,0.005347,0.005347
49,1233.38,1.69669,1.77296,1.50439,0.27783,0.27544,0.20391,0.10314,1.69889,2.62824,1.48904,0.005248,0.005248,0.005248
50,1258.5,1.68396,1.76512,1.51622,0.22952,0.26964,0.23553,0.12553,1.5789,2.38332,1.41724,0.005149,0.005149,0.005149
51,1283.66,1.66647,1.76795,1.44378,0.24224,0.2036,0.1727,0.09783,1.72138,2.75466,1.54612,0.00505,0.00505,0.00505
52,1308.69,1.64603,1.72734,1.47653,0.37185,0.29462,0.28253,0.15563,1.54499,2.0075,1.41389,0.004951,0.004951,0.004951
53,1333.74,1.68893,1.75315,1.5164,0.3712,0.33915,0.30012,0.15854,1.60731,1.91154,1.42561,0.004852,0.004852,0.004852
54,1358.8,1.68638,1.7323,1.51505,0.3756,0.27297,0.2974,0.15725,1.59965,1.92949,1.43451,0.004753,0.004753,0.004753
55,1383.7,1.67771,1.72465,1.46553,0.31785,0.295,0.24591,0.12371,1.67534,2.20608,1.48267,0.004654,0.004654,0.004654
56,1408.76,1.67839,1.72476,1.49906,0.23543,0.18401,0.19221,0.08686,1.89167,2.71165,1.58956,0.004555,0.004555,0.004555
57,1433.79,1.69484,1.74717,1.48413,0.16969,0.16943,0.10657,0.05842,1.68108,4.58621,1.49983,0.004456,0.004456,0.004456
58,1458.82,1.65137,1.678,1.4687,0.36191,0.36968,0.32666,0.17038,1.65808,1.69979,1.44819,0.004357,0.004357,0.004357
59,1483.88,1.63262,1.69469,1.46282,0.26843,0.26229,0.21425,0.12199,1.59994,2.82495,1.48578,0.004258,0.004258,0.004258
60,1508.78,1.63223,1.67375,1.45497,0.2939,0.35107,0.28218,0.14891,1.62815,2.01982,1.47048,0.004159,0.004159,0.004159
61,1533.82,1.63343,1.6548,1.4741,0.36158,0.29776,0.27202,0.14562,1.56007,2.27269,1.43233,0.00406,0.00406,0.00406
62,1558.79,1.62252,1.6438,1.4462,0.27162,0.28653,0.2443,0.13142,1.59817,2.5415,1.44817,0.003961,0.003961,0.003961
63,1583.69,1.62433,1.67843,1.46157,0.34722,0.34053,0.30151,0.1575,1.63268,1.90488,1.46002,0.003862,0.003862,0.003862
64,1608.59,1.63867,1.63207,1.46971,0.34197,0.30159,0.27223,0.14111,1.634,2.10747,1.45101,0.003763,0.003763,0.003763
65,1633.71,1.6334,1.64787,1.47179,0.26637,0.3046,0.25852,0.1419,1.58428,2.37015,1.4314,0.003664,0.003664,0.003664
66,1658.65,1.61381,1.6343,1.47411,0.34312,0.36371,0.31085,0.16715,1.56691,1.8965,1.39569,0.003565,0.003565,0.003565
67,1683.6,1.60426,1.59447,1.43904,0.31862,0.29614,0.26567,0.14084,1.587,2.76469,1.42192,0.003466,0.003466,0.003466
68,1708.51,1.5748,1.59737,1.40184,0.34832,0.32538,0.30821,0.15716,1.6746,1.88791,1.46362,0.003367,0.003367,0.003367
69,1733.46,1.59841,1.64106,1.44411,0.2617,0.26983,0.24979,0.13673,1.61866,2.45472,1.47039,0.003268,0.003268,0.003268
70,1758.37,1.61727,1.62816,1.44707,0.2452,0.31692,0.2521,0.14248,1.54419,2.48075,1.40525,0.003169,0.003169,0.003169
