epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.697,2.47088,3.24811,2.05323,0.00021,0.02601,0.00011,3e-05,4.04317,57407.6,24.0471,0.0702609,0.00330435,0.00330435
2,102.897,2.55495,3.04602,2.10893,0.00021,0.02601,0.00011,3e-05,4.92448,114.342,9.67945,0.0401952,0.00657197,0.00657197
3,153.046,2.55688,2.91792,2.11795,0.35103,0.04225,0.01017,0.00281,3.06126,3.97448,2.54295,0.0100634,0.00977359,0.00977359
4,203.596,2.42336,2.85132,2.04681,0.00061,0.03901,0.0004,9e-05,4.88972,39.5748,4.69722,0.009703,0.009703,0.009703
5,253.344,2.29259,2.70836,1.94334,0.00061,0.03901,0.0004,9e-05,0.00014,0.0008,0.00023,0.009604,0.009604,0.009604
6,303.066,2.29843,2.67322,1.95195,0.00229,0.1463,0.00165,0.00061,3.26744,4.24512,2.81761,0.009505,0.009505,0.009505
7,353.073,2.24047,2.64181,1.89775,0.39283,0.05399,0.02846,0.00657,3.07179,5.44537,2.56419,0.009406,0.009406,0.009406
8,403.149,2.17187,2.51852,1.82589,0.12842,0.08133,0.07402,0.0348,2.82102,4.85101,2.30276,0.009307,0.009307,0.009307
9,453.182,2.14738,2.45419,1.84105,0.01098,0.45168,0.04418,0.0173,2.53066,3.64127,2.08904,0.009208,0.009208,0.009208
10,502.945,2.19058,2.50066,1.8397,0.07448,0.13062,0.04912,0.02082,3.2687,4.74157,2.71843,0.009109,0.009109,0.009109
11,552.855,2.13251,2.4641,1.79171,0.51241,0.21545,0.19355,0.09083,1.87691,2.50533,1.67842,0.00901,0.00901,0.00901
12,602.917,2.04807,2.29134,1.76174,0.16948,0.0999,0.09036,0.04468,1.99902,2.88608,1.71467,0.008911,0.008911,0.008911
13,652.902,2.05573,2.35392,1.77535,0.01839,0.13232,0.01269,0.00517,3.33849,5.08699,2.83566,0.008812,0.008812,0.008812
14,702.799,2.05975,2.38718,1.76782,0.34776,0.22006,0.20144,0.08818,1.98192,2.43857,1.72885,0.008713,0.008713,0.008713
15,753.025,2.0005,2.25522,1.73219,0.1748,0.19385,0.143,0.05929,1.97399,2.57117,1.6946,0.008614,0.008614,0.008614
16,803.234,1.98228,2.21713,1.71001,0.17381,0.15262,0.14126,0.05948,2.00189,2.6325,1.71982,0.008515,0.008515,0.008515
17,853.191,1.96446,2.29725,1.69084,0.53684,0.14627,0.14655,0.06473,2.00408,2.58884,1.78492,0.008416,0.008416,0.008416
18,903.038,1.95617,2.23089,1.69109,0.13996,0.13238,0.12018,0.05062,2.00068,2.64049,1.7465,0.008317,0.008317,0.008317
19,952.914,1.98175,2.2508,1.75408,0.25544,0.19303,0.13593,0.06958,1.848,2.75678,1.63673,0.008218,0.008218,0.008218
20,1002.91,1.91664,2.09679,1.67575,0.22669,0.237,0.18357,0.08925,1.97577,2.57903,1.6992,0.008119,0.008119,0.008119
21,1053,1.9295,2.13586,1.68009,0.27978,0.22395,0.17385,0.07824,1.93994,2.43962,1.68589,0.00802,0.00802,0.00802
22,1103.25,1.96298,2.1489,1.65832,0.30447,0.1909,0.15686,0.06334,1.99986,2.75506,1.70212,0.007921,0.007921,0.007921
23,1153.41,1.89792,2.13841,1.66645,0.22049,0.23849,0.20173,0.09745,1.77663,2.23249,1.60996,0.007822,0.007822,0.007822
24,1203.73,1.90927,2.0947,1.66231,0.14818,0.22014,0.18173,0.0828,1.87745,2.42715,1.6289,0.007723,0.007723,0.007723
25,1253.84,1.92793,2.11186,1.66754,0.18269,0.16038,0.12941,0.06308,1.86867,2.58595,1.64804,0.007624,0.007624,0.007624
26,1304.05,1.83878,2.03433,1.62284,0.60379,0.2443,0.26005,0.12531,1.71669,2.55778,1.54627,0.007525,0.007525,0.007525
27,1354.46,1.9545,2.11258,1.67508,0.36518,0.22053,0.17026,0.07161,2.05065,2.37927,1.72875,0.007426,0.007426,0.007426
28,1404.67,1.97027,2.13709,1.67767,0.55094,0.27992,0.25287,0.11595,1.82905,2.05527,1.61644,0.007327,0.007327,0.007327
29,1454.95,1.86336,2.04916,1.63819,0.27905,0.24325,0.19953,0.09495,1.95571,2.38253,1.69298,0.007228,0.007228,0.007228
30,1505.07,1.89209,2.01394,1.63618,0.27453,0.23519,0.17914,0.07497,2.02213,2.49725,1.72856,0.007129,0.007129,0.007129
31,1555.04,1.87287,2.0074,1.64252,0.31104,0.21061,0.19583,0.10262,1.82767,2.27399,1.6163,0.00703,0.00703,0.00703
32,1605.03,1.88524,2.00304,1.62312,0.29779,0.27837,0.22584,0.1121,1.80412,2.20062,1.57492,0.006931,0.006931,0.006931
