epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2152.62,1.3977,1.26784,1.17395,0.49714,0.44978,0.43417,0.25765,1.39067,1.50353,1.1535,0.005842,0.005842,0.005842
44,2202.68,1.42176,1.2838,1.1876,0.57866,0.44379,0.43989,0.26911,1.31345,1.48719,1.12229,0.005743,0.005743,0.005743
45,2252.69,1.40796,1.25924,1.19899,0.53617,0.44355,0.43456,0.26939,1.28999,1.52399,1.12435,0.005644,0.005644,0.005644
46,2302.77,1.37151,1.26497,1.17884,0.54781,0.45998,0.46865,0.28449,1.31629,1.37942,1.11818,0.005545,0.005545,0.005545
47,2352.69,1.39241,1.26332,1.19692,0.45736,0.37316,0.38621,0.23498,1.29304,1.69296,1.13661,0.005446,0.005446,0.005446
48,2402.7,1.38638,1.22881,1.1831,0.5912,0.30207,0.38332,0.23071,1.3435,1.88593,1.16281,0.005347,0.005347,0.005347
49,2452.67,1.39425,1.2691,1.19725,0.5536,0.36518,0.43842,0.26632,1.29686,1.60015,1.1334,0.005248,0.005248,0.005248
50,2502.69,1.39161,1.21522,1.18991,0.53927,0.37196,0.40701,0.23614,1.39734,1.64661,1.16076,0.005149,0.005149,0.005149
51,2552.85,1.37538,1.18621,1.16559,0.4799,0.37842,0.38735,0.23302,1.31784,1.65688,1.12963,0.00505,0.00505,0.00505
52,2602.88,1.39736,1.24023,1.18413,0.55923,0.36648,0.4203,0.23367,1.53934,1.52971,1.1828,0.004951,0.004951,0.004951
53,2652.9,1.37223,1.1825,1.16934,0.51898,0.39574,0.41061,0.24834,1.29494,1.55951,1.12611,0.004852,0.004852,0.004852
54,2702.81,1.36812,1.19017,1.16543,0.52087,0.39935,0.42904,0.24307,1.35639,1.50807,1.15463,0.004753,0.004753,0.004753
55,2752.94,1.3794,1.1987,1.17623,0.36294,0.41704,0.33275,0.20293,1.31693,1.79048,1.15578,0.004654,0.004654,0.004654
56,2802.94,1.34405,1.17826,1.17042,0.38342,0.38912,0.36405,0.22304,1.27734,1.7347,1.14299,0.004555,0.004555,0.004555
57,2852.93,1.36338,1.16688,1.15909,0.45652,0.50225,0.43598,0.25323,1.35885,1.47179,1.14891,0.004456,0.004456,0.004456
